Img,DiamRipRG,DiamRipLF,DiamMaxRG,DiamMaxLF,DiffMinMax,DiamAvg
T3_01,2.48248291015625,2.5651538372039795,3.0794169902801514,3.391038417816162,0.46791934967041016,2.7795757596056565
T3_02,3.178795337677002,3.553770065307617,3.2572505474090576,3.5411908626556396,0.46791934967041016,2.6814928428272258
T3_03,3.0039093494415283,3.295090436935425,3.002525806427002,3.287278652191162,0.46791934967041016,2.628945013036704
T3_04,2.495664596557617,2.7304348945617676,3.038905620574951,3.4187986850738525,0.46791934967041016,2.726827971637249
