numeroFissazioni,startTime,duration,position_x,position_y,position_z
1,0.025501,0.681232,0.5274261999555099,0.6112098576360676,531.0293906832175
2,0.726785,0.510875,0.5973768519076632,0.7183414129191203,510.1119879518823
3,1.46811,0.29049400000000003,0.5625912197989528,0.6529957293269901,1077.5772010762716
4,1.808743,0.24043499999999995,0.3521565711292949,0.4059679512960881,592.9086645174465
5,2.079184,0.360652,0.46837718037374526,0.6817720668687777,654.6791633371992
6,2.790503,0.42077699999999973,0.4317459470718354,0.3698215016647005,498.6596300981152
7,3.241286,0.5410339999999998,0.4338048473167241,0.624849627198375,483.0858781016111
8,3.812369,2.7650010000000003,0.43255117441477126,0.42846118494133434,504.43931333369
9,6.657516,0.2905319999999998,0.38239218789278584,0.48945309937061027,553.2350138739721
10,6.968028,4.367903,0.5023364976788078,0.5514004980462032,514.2657833341406
11,11.356023,0.39069999999999894,0.5825553913686077,0.7443617741103401,207.6175269311773
12,11.947085,0.23036800000000035,0.4965549458057105,0.6032544893350971,495.81722111036265
13,12.197545,0.5610149999999994,0.5825120434920833,0.6328127733346882,388.6332532289923
14,12.778541,0.25050099999999986,0.5341921805206965,0.5326578412672289,2346.4446236211347
15,13.069116,2.1238420000000016,0.6003838093969238,0.6018577974657948,533.8485557235568
16,15.212978,0.330565,0.5131029282956652,0.6010794205596267,1023.4467073592107
17,15.563635,0.8415219999999994,0.5675690219024107,0.7086332584845597,701.7932123371165
18,16.795859,0.48086899999999844,0.48457070080374687,0.5738441277857558,420.41950837460223
19,17.296748,0.3606529999999992,0.5962575248889354,0.5861366166526268,469.4741143793763
20,17.677453,0.6310929999999999,0.515727769090049,0.6469186451041169,901.0340297396546
21,18.338633,0.5009219999999992,0.5760604922033781,0.5690399148014879,536.5105778456754
22,19.069924,0.2003629999999994,0.5640840811306685,0.5701681030681913,496.79186438513915
23,19.290377,0.43077300000000207,0.44485559609420033,0.44292579513126185,434.59677509788753
24,19.761222,0.2303689999999996,0.3958264938396958,0.6394315199323928,433.0200461686793
25,20.011682,0.26041700000000034,0.43658360448474354,0.5515600084260841,492.12742438873676
26,20.322238,0.39065800000000195,0.4282425506928264,0.5268078200132831,492.31212592325437
27,20.732987,0.21035899999999685,0.38328757580704864,0.3713164217079994,480.44602616324914
28,21.243905,1.713051,0.5074433782874622,0.5885906852251248,520.5355706627338
29,22.987043,1.3023720000000019,0.47643038793206277,0.6629500277392225,394.6829404874043
30,24.429653,1.8734120000000019,0.38637351639945205,0.4798621830921338,304.04120359351464
31,26.513423,0.21034799999999976,0.4045544279217791,0.5951542672417677,307.8756654105837
32,26.79393,0.45078399999999874,0.34570018303118977,0.6158917002427808,510.0126128591374
33,27.264805,0.2504300000000015,0.44115309906833494,0.7124589985593465,545.4245025473131
34,27.545312,0.5008510000000008,0.6140153512860281,0.5812354606129465,441.9004135965279
35,28.126309,0.20036200000000193,0.6062628113880724,0.5287230376228056,765.7249303740602
36,28.37681,1.292345000000001,0.4022301131656932,0.6061309404898139,596.7550585132512
37,29.959658,2.0637500000000024,0.474778256145876,0.5506150025604161,983.3041369771456
38,32.043428,6.060932000000001,0.5306505645783355,0.6958221539635558,499.272247457515
